ECG_peaks,mean_rr_interval,handGSR_peaks,handGSR_mean_peak_interval,handGSR_mean_peak_diff,handGSR_has_peaks,footGSR_peaks,footGSR_mean_peak_interval,footGSR_mean_peak_diff,footGSR_has_peaks,RESP_mean_rr,EMG_rms,HR_mean,HR_std,HR_rmssd,HR_min,HR_max,Stress_Binary,Drive,Window_Start
70,0.8583450210378682,1,60.0,0.0,0,1,60.0,0.0,0,3.8666666666666667,1.102092,68.65053763440861,6.554931225181789,1.589456650395858,55.0,90.0,no,drive05,0
66,0.901240694789082,0,60.0,0.0,0,0,60.0,0.0,0,4.317617866004962,0.227967,64.35913978494624,4.371221540331,1.2380755231715173,54.0,73.0,no,drive05,465
63,0.951092611862643,0,60.0,0.0,0,0,60.0,0.0,0,5.1436950146627565,0.22235,61.71182795698925,4.693025011157243,1.1692139908062569,49.0,73.0,no,drive05,930
65,0.9243951612903226,0,60.0,0.0,0,0,60.0,0.0,0,4.634408602150539,0.222611,62.49032258064516,5.362194714294348,1.2306631361078513,49.0,73.0,no,drive05,1395
67,0.8993157380254154,0,60.0,0.0,0,0,60.0,0.0,0,4.317617866004962,0.224139,66.47741935483872,8.864937931145725,1.7579589887830922,50.0,96.0,no,drive05,1860
64,0.9308755760368664,0,60.0,0.0,0,0,60.0,0.0,0,3.7327188940092166,0.222173,66.02043010752688,8.834597910777548,1.7019586007242118,50.0,96.0,no,drive05,2325
64,0.9472606246799795,0,60.0,0.0,0,0,60.0,0.0,0,3.949308755760369,0.218627,62.54408602150538,4.037817529458513,1.0666689092190278,54.0,70.0,no,drive05,2790
63,0.9510926118626429,0,60.0,0.0,0,0,60.0,0.0,0,3.9493087557603688,0.213546,62.13225806451613,4.533119728292769,1.029698922418028,54.0,71.0,no,drive05,3255
64,0.9390681003584231,0,60.0,0.0,0,0,60.0,0.0,0,3.673387096774194,0.211997,61.99032258064516,4.47488966683541,1.0186633002459793,54.0,71.0,no,drive05,3720
65,0.9254032258064516,0,60.0,0.0,0,0,60.0,0.0,0,3.1684587813620073,0.22038,62.29354838709678,3.671872349188348,1.0595813296709689,54.0,70.0,no,drive05,4185
66,0.9171215880893301,0,60.0,0.0,0,0,60.0,0.0,0,3.282732447817837,0.224751,62.92365591397849,3.7349813331560524,1.29543372922915,55.0,77.0,no,drive05,4650
66,0.913151364764268,0,60.0,0.0,0,0,60.0,0.0,0,3.5322580645161294,0.233376,63.71935483870968,4.245396192474706,1.3985229791258935,55.0,77.0,no,drive05,5115
75,0.7986050566695728,0,60.0,0.0,0,0,60.0,0.0,0,2.535764375876578,1.14627,73.03763440860214,11.72762948462768,1.5353740651430472,58.0,109.0,no,drive05,5580
75,0.7916303400174368,0,60.0,0.0,0,0,60.0,0.0,0,2.165161290322581,1.147038,75.4258064516129,11.470269219270271,1.8217085865695026,60.0,109.0,no,drive05,6045
65,0.9163306451612903,0,60.0,0.0,0,0,60.0,0.0,0,2.9498207885304657,0.233823,66.95913978494623,7.153797946998622,1.6262777538341093,58.0,93.0,no,drive05,6510
65,0.9233870967741936,0,60.0,0.0,0,0,60.0,0.0,0,3.5806451612903225,0.214392,64.70752688172043,4.485873563267411,1.203690056626688,57.0,79.0,no,drive05,6975
65,0.9223790322580645,0,60.0,0.0,0,0,60.0,0.0,0,3.3282732447817844,0.210784,64.34516129032258,5.058178007833618,1.3016508521091805,57.0,79.0,no,drive05,7440
64,0.93394777265745,0,60.0,0.0,0,0,60.0,0.0,0,3.0609318996415777,0.212676,63.921505376344086,5.591205641857665,1.4402338047245176,55.0,80.0,no,drive05,7905
65,0.9102822580645162,0,60.0,0.0,0,0,60.0,0.0,0,3.3017077798861476,0.217114,65.3021505376344,5.043477177687488,1.2350287515773957,55.0,80.0,no,drive05,8370
65,0.9304435483870968,0,60.0,0.0,0,0,60.0,0.0,0,3.3738140417457307,0.217516,64.33440860215053,5.569019423419228,1.2376407292957134,54.0,80.0,no,drive05,8835
62,0.9635113696456901,0,60.0,0.0,0,0,60.0,0.0,0,3.146953405017921,0.2164,61.85376344086021,6.357800376030938,1.3395531282569704,53.0,80.0,no,drive05,9300
64,0.9431643625192012,0,60.0,0.0,0,0,60.0,0.0,0,3.0288624787775893,0.226681,62.28709677419355,6.214477128438246,1.273646097255787,53.0,76.0,no,drive05,9765
67,0.9022482893450634,0,60.0,0.0,0,0,60.0,0.0,0,3.1577060931899643,0.24358,63.64301075268817,6.057207523139603,1.3033037427460104,55.0,80.0,no,drive05,10230
65,0.9133064516129032,0,60.0,0.0,0,0,60.0,0.0,0,3.157706093189964,0.238837,63.9010752688172,6.238873875219289,1.4233180355617014,52.0,81.0,no,drive05,10695
66,0.9171215880893301,0,60.0,0.0,0,0,60.0,0.0,0,3.096774193548387,0.226464,65.08709677419355,6.140115332993568,1.3834326506252232,52.0,81.0,no,drive05,11160
66,0.9141439205955335,0,60.0,0.0,0,0,60.0,0.0,0,2.9473684210526314,0.224572,65.39677419354838,4.882114639949947,1.112121296557255,56.0,78.0,no,drive05,11625
64,0.9359959037378393,0,60.0,0.0,0,0,60.0,0.0,0,2.9225806451612906,0.227365,63.8247311827957,5.29540591951821,1.3634471604397023,54.0,83.0,no,drive05,12090
