Driver,Start,Rest1,City1,Hwy1,Return,Hwy2,City2,Rest2
drive05,515,14586,29468.0,36666.0,42306.0,49337.0,63246.0,77922.0
drive06,1502,15498,28977.0,35786.0,41862.0,48965.0,60399.0,74394.0
drive07,1513,15502,30592.0,40781.0,49922.0,57026.0,66466.0,80440.0
drive08,528,14480,25930.0,32654.0,41495.0,48601.0,61091.0,75108.0
drive09,892,15456,33319.0,41199.0,46038.0,52607.0,64895.0,
drive10,2410,16395,30626.0,38676.0,43575.0,50126.0,61340.0,75093.0
drive11,1489,15454,30159.0,37070.0,43715.0,50192.0,61091.0,75033.0
drive12,4825,18787,31260.0,38288.0,44330.0,51830.0,62693.0,76648.0
drive15,345,14296,25957.0,32688.0,38260.0,44598.0,55866.0,69815.0
drive16,792,14750,29739.0,36380.0,41145.0,47476.0,,
drive17a,402,14353,,,,,,
drive17b,331,9461,23408.0,,,,,
